Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Resp_SS_Instr_PreTrial.rt,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,1,0,1,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.42986010003369,None,62.42986010003369,None,62.42986010003369,None,62.42986010003369,None,63.0497641999973,None,63.0497641999973,None,63.0497641999973,None,j,0.5389616000466049,63.0497641999973,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.5389616000466049,0,4,1,63.65799615997821,None,63.65372090006713,None,63.65372090006713,None,63.65372090006713,None,63.65372090006713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.18692530004773,None,64.18692530004773,None,64.18692530004773,None,64.18692530004773,None,64.8007528000744,None,64.8007528000744,None,64.8007528000744,None,j,0.5322204999392852,64.8007528000744,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.5322204999392852,0,5,1,65.40790116006974,None,65.40428720007185,None,65.40428720007185,None,65.40428720007185,None,65.40428720007185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.93437700008508,None,65.93437700008508,None,65.93437700008508,None,65.93437700008508,None,66.5492359000491,None,66.5492359000491,None,66.5492359000491,None,j,0.4875942999497056,66.5492359000491,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.4875942999497056,1,6,1,67.10771526000462,None,67.10699670005124,None,67.10699670005124,None,67.10699670005124,None,67.10699670005124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.63076880003791,None,67.63076880003791,None,67.63076880003791,None,67.63076880003791,None,68.24967589997686,None,68.24967589997686,None,68.24967589997686,None,j,0.5236683998955414,68.24967589997686,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.5236683998955414,1,7,1,68.84125016001053,None,68.83943569997791,None,68.83943569997791,None,68.83943569997791,None,68.83943569997791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.37496500008274,None,69.37496500008274,None,69.37496500008274,None,69.37496500008274,None,70.00218349997886,None,70.00218349997886,None,70.00218349997886,None,j,0.4987884999718517,70.00218349997886,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.4987884999718517,1,8,1,70.57443806005176,None,70.57241270004306,None,70.57241270004306,None,70.57241270004306,None,70.57241270004306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,1,0,1,0,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.09977830003481,None,71.09977830003481,None,71.09977830003481,None,71.09977830003481,None,71.71617350005545,None,71.71617350005545,None,71.71617350005545,None,j,0.49662530003115535,71.71617350005545,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.49662530003115535,1,9,1,72.29128226009198,None,72.28832609998062,None,72.28832609998062,None,72.28832609998062,None,72.28832609998062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,72.81333220005035,None,space,1.1754616999533027,72.81333220005035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,89.18900670006406,None,89.18900670006406,None,89.18900670006406,None,89.18900670006406,None,89.18900670006406,None,89.18900670006406,None,89.18900670006406,None,j,89.18900670006406,None,89.80716980004217,None,89.80716980004217,None,89.80716980004217,None,89.80716980004217,None,89.80716980004217,None,89.80716980004217,None,None,0.5282250000163913,89.80716980004217,None,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.4819884999888018,1,0,1,,,,,,,,,,,0.39981009997427464,,,,,,,90.44679820002057,None,j,1.8222654999699444,90.44679820002057,None,92.29128800006583,95.27478690003045,92.29128800006583,None,95.29158940003254,None,95.29158940003254,None,95.29158940003254,None,95.87502120004501,None,95.87502120004501,None,j,0.4819884999888018,95.87502120004501,None,96.39163888001349,None,96.38632609997876,None,96.38632609997876,None,96.38632609997876,None,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[1, 1, 1]","[1, 1, 1]",1,0.5,0,[],99,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87465690006502,None,96.87465690006502,None,96.87465690006502,None,97.45800430001691,None,97.45800430001691,None,None,,97.45800430001691,None,98.05845939001301,None,98.06504020001739,None,98.06504020001739,None,98.06504020001739,None,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.49650010000914335,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.55835539998952,None,98.55835539998952,None,98.55835539998952,None,99.14161140006036,None,99.14161140006036,None,j,0.49650010000914335,99.14161140006036,None,99.67871268000454,None,99.67103069997393,None,99.67103069997393,None,99.67103069997393,None,1,1,2020_Dec_28_1941,Stop_Signal_Drop,2020.1.3,59.97343176291655,
