Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Resp_SS_Instr_PreTrial.rt,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
media/check.png,media/cross.png,media/coin.wav,media/buzz.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.390774500090629,None,space,0.9394811000674963,8.390774500090629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.387697500060312,None,23.387697500060312,None,23.387697500060312,None,23.387697500060312,None,23.387697500060312,None,23.387697500060312,None,23.387697500060312,None,j,23.387697500060312,None,24.01536770001985,None,24.01536770001985,None,24.01536770001985,None,24.01536770001985,None,24.01536770001985,None,24.01536770001985,None,j,0.07473100000061095,24.01536770001985,None,0.14244809991214424,24.6523029000964,None,24.6523029000964,None,24.6523029000964,None,27.64378280006349,None,27.64378280006349,None,27.64378280006349,None,27.64378280006349,None,28.28205630008597,None,28.28205630008597,None,28.28205630008597,None,j,0.4880600000033155,28.28205630008597,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.4880600000033155,1,0,1,28.83957750000991,None,28.871109800064005,None,28.871109800064005,None,28.871109800064005,None,28.871109800064005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.384450900019147,None,29.384450900019147,None,29.384450900019147,None,29.384450900019147,None,30.000302600092255,None,30.000302600092255,None,30.000302600092255,None,j,0.5298369999509305,30.000302600092255,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.5298369999509305,1,1,1,30.60630260000471,None,30.60665750002954,None,30.60665750002954,None,30.60665750002954,None,30.60665750002954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.147011100081727,None,31.147011100081727,None,31.147011100081727,None,31.147011100081727,None,31.782368100015447,None,31.782368100015447,None,31.782368100015447,None,j,0.4837920001009479,31.782368100015447,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.4837920001009479,1,2,1,32.3393959000241,None,32.33800380001776,None,32.33800380001776,None,32.33800380001776,None,32.33800380001776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.863399900030345,None,32.863399900030345,None,32.863399900030345,None,32.863399900030345,None,33.48186890000943,None,33.48186890000943,None,33.48186890000943,None,j,0.48833860002923757,33.48186890000943,None,1,0,"[1, 1, 1]","[1, 1, 1]",1,-98.5,99,j,0.48833860002923757,1,3,1,34.0394100000849,None,34.0391527999891,None,34.0391527999891,None,34.0391527999891,None,34.0391527999891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,48.4025025999872,None,48.4025025999872,None,48.4025025999872,None,48.4025025999872,None,48.4025025999872,None,48.4025025999872,None,48.4025025999872,None,j,48.4025025999872,None,49.02094409998972,None,49.02094409998972,None,49.02094409998972,None,49.02094409998972,None,49.02094409998972,None,49.02094409998972,None,j,0.4614138000179082,49.02094409998972,None,0.4639186999993399,49.651431000093,None,49.651431000093,None,49.651431000093,None,52.64509820006788,None,52.64509820006788,None,52.64509820006788,None,52.64509820006788,None,53.26901960000396,None,53.26901960000396,None,53.26901960000396,None,j,0.5014099000254646,53.26901960000396,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.5014099000254646,1,0,1,53.85633950011106,None,53.853641199995764,None,53.853641199995764,None,53.853641199995764,None,53.853641199995764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.384592800051905,None,54.384592800051905,None,54.384592800051905,None,54.384592800051905,None,54.99966740002856,None,54.99966740002856,None,54.99966740002856,None,j,0.5148931000148878,54.99966740002856,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.5148931000148878,1,1,1,55.589728200109676,None,55.58655450004153,None,55.58655450004153,None,55.58655450004153,None,55.58655450004153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.11433810007293,None,56.11433810007293,None,56.11433810007293,None,56.11433810007293,None,56.732071900041774,None,56.732071900041774,None,56.732071900041774,None,j,0.49428820004686713,56.732071900041774,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.49428820004686713,1,2,1,57.306575200054795,None,57.30450630001724,None,57.30450630001724,None,57.30450630001724,None,57.30450630001724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
,,,,,,,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.82959040009882,None,57.82959040009882,None,57.82959040009882,None,57.82959040009882,None,58.43275820009876,None,58.43275820009876,None,58.43275820009876,None,j,0.48172459995839745,58.43275820009876,None,1,0,"[1, 1, 1]","[1, 1, 1]",2,-98.5,99,j,0.48172459995839745,1,3,1,58.9899252000032,None,58.98732459999155,None,58.98732459999155,None,58.98732459999155,None,58.98732459999155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1945,Stop_Signal_Drop,2020.1.3,60.13471378952061,
