Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Resp_SS_Instr_PreTrial.rt,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Resp_SS_Instr_MainTrial.rt,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,61.82174020004459,None,space,13.432218899950385,61.82174020004459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,91.79955989995506,None,91.79955989995506,None,91.79955989995506,None,91.79955989995506,None,91.79955989995506,None,91.79955989995506,None,91.79955989995506,None,None,91.79955989995506,None,92.42748760001268,None,92.42748760001268,None,92.42748760001268,None,92.42748760001268,None,92.42748760001268,None,92.42748760001268,None,j,92.42748760001268,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4974730999674648,1,0,1,,,,,,,,,,,0.5223547000205144,,,,,,,93.06027969997376,None,j,1.5931761999381706,93.06027969997376,None,94.68264889996499,97.66800239996519,94.68264889996499,None,97.68353209993802,None,97.68353209993802,None,97.68353209993802,None,98.28467860003002,None,98.28467860003002,None,j,0.4974730999674648,98.28467860003002,None,98.85087878003252,None,98.85521619999781,None,98.85521619999781,None,98.85521619999781,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,[],99,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.34932589996606,None,99.34932589996606,None,99.34932589996606,None,99.93926859996282,None,99.93926859996282,None,None,,99.93926859996282,None,100.54930896996521,None,100.55476450000424,None,100.55476450000424,None,100.55476450000424,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.5240680000279099,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.05520459997933,None,101.05520459997933,None,101.05520459997933,None,101.64945679996163,None,101.64945679996163,None,j,0.5240680000279099,101.64945679996163,None,102.21605974000414,None,102.20752519997768,None,102.20752519997768,None,102.20752519997768,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,j,0.49881360004656017,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.70036030001938,None,102.70036030001938,None,102.70036030001938,None,103.28282760002185,None,103.28282760002185,None,j,0.49881360004656017,103.28282760002185,None,103.85115288002417,None,103.8412700999761,None,103.8412700999761,None,103.8412700999761,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.49678269994910806,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.31719410000369,None,104.31719410000369,None,104.31719410000369,None,104.90059079998173,None,104.90059079998173,None,j,0.49678269994910806,104.90059079998173,None,105.43322424003856,None,105.42778579995502,None,105.42778579995502,None,105.42778579995502,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,[],99,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.91633739997633,None,105.91633739997633,None,105.91633739997633,None,106.49942130001727,None,106.49942130001727,None,None,,106.49942130001727,None,107.09950406998396,None,107.10593770002015,None,107.10593770002015,None,107.10593770002015,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.33429437666285317,0.16570562333714683,[],99,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.60182310000528,None,107.60182310000528,None,107.60182310000528,None,108.18280249997042,None,108.18280249997042,None,None,,108.18280249997042,None,108.79985774001108,None,108.78935360000469,None,108.78935360000469,None,108.78935360000469,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99.0,j,0.5217187999514863,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28283689997625,None,109.28283689997625,None,109.28283689997625,None,109.86771479994059,None,109.86771479994059,None,j,0.5217187999514863,109.86771479994059,None,110.43292373996229,None,110.42433459998574,None,110.42433459998574,None,110.42433459998574,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99.0,j,0.4991914000129327,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.89973219996318,None,110.89973219996318,None,110.89973219996318,None,111.48286240000743,None,111.48286240000743,None,j,0.4991914000129327,111.48286240000743,None,112.01644184004982,None,112.00898779998533,None,112.00898779998533,None,112.00898779998533,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.4199495019269066,0.08005049807309339,[],99,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.49978279997595,None,112.49978279997595,None,112.49978279997595,None,113.08331190003082,None,113.08331190003082,None,None,,113.08331190003082,None,113.68303377004341,None,113.68862549995538,None,113.68862549995538,None,113.68862549995538,None,1,1,2020_Dec_28_1937,Stop_Signal_Drop,2020.1.3,61.04510436590356,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2852882000152,None,119.2852882000152,None,119.2852882000152,None,119.2852882000152,None,119.2852882000152,None,119.2852882000152,None,119.2852882000152,None,j,119.2852882000152,None,119.92138760001399,None,119.92138760001399,None,119.92138760001399,None,119.92138760001399,None,119.92138760001399,None,119.92138760001399,None,None,119.92138760001399,None,0.015994500019587576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07048669992946088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
