Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
media/check.png,media/cross.png,media/coin.wav,media/buzz.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_2142,Stop_Signal_Drop,2020.1.3,None,
,,,,,,,,,,,,,,,,11.97459420002997,None,space,3.7446384000359103,11.97459420002997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_2142,Stop_Signal_Drop,2020.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,23.3844681000337,None,23.3844681000337,None,23.3844681000337,None,23.3844681000337,None,23.3844681000337,None,23.3844681000337,None,23.3844681000337,None,None,23.3844681000337,None,24.023415000061505,None,24.023415000061505,None,24.023415000061505,None,24.023415000061505,None,24.023415000061505,None,24.023415000061505,None,None,0.4882091999752447,24.023415000061505,None,,,,,,,
