Check,Cross,Sound_P,Sound_N,Import.thisRepN,Import.thisTrialN,Import.thisN,Import.thisIndex,SS_Prac_Block_Loop.thisRepN,SS_Prac_Block_Loop.thisTrialN,SS_Prac_Block_Loop.thisN,SS_Prac_Block_Loop.thisIndex,SS_Prac_Instr_Loop.thisRepN,SS_Prac_Instr_Loop.thisTrialN,SS_Prac_Instr_Loop.thisN,SS_Prac_Instr_Loop.thisIndex,SS_Prac_Trial_Loop.thisRepN,SS_Prac_Trial_Loop.thisTrialN,SS_Prac_Trial_Loop.thisN,SS_Prac_Trial_Loop.thisIndex,SS_Block_Loop.thisRepN,SS_Block_Loop.thisTrialN,SS_Block_Loop.thisN,SS_Block_Loop.thisIndex,Show_Instr_Bool.thisRepN,Show_Instr_Bool.thisTrialN,Show_Instr_Bool.thisN,Show_Instr_Bool.thisIndex,SS_Instr_Loop.thisRepN,SS_Instr_Loop.thisTrialN,SS_Instr_Loop.thisN,SS_Instr_Loop.thisIndex,SS_Trial_Loop.thisRepN,SS_Trial_Loop.thisTrialN,SS_Trial_Loop.thisN,SS_Trial_Loop.thisIndex,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Line_SS_Instr_PreTrial.started,Line_SS_Instr_PreTrial.stopped,Circle_SS_Instr_PreTrial.started,Circle_SS_Instr_PreTrial.stopped,Score_SS_Intr_PreTrial.started,Score_SS_Intr_PreTrial.stopped,Ball_SS_Instr_PreTrial.started,Ball_SS_Instr_PreTrial.stopped,Text_1_SS_Instr_PreTrial.started,Text_1_SS_Instr_PreTrial.stopped,Text_2_SS_Instr_PreTrial.started,Text_2_SS_Instr_PreTrial.stopped,Text_3_SS_Instr_PreTrial.started,Text_3_SS_Instr_PreTrial.stopped,Resp_SS_Instr_PreTrial.keys,Resp_SS_Instr_PreTrial.started,Resp_SS_Instr_PreTrial.stopped,Line_SS_Instr_MainTrial.started,Line_SS_Instr_MainTrial.stopped,Score_SS_Instr_MainTrial.started,Score_SS_Instr_MainTrial.stopped,Ball_SS_Instr_MainTrial.started,Ball_SS_Instr_MainTrial.stopped,Text_1_SS_Instr_MainTrial.started,Text_1_SS_Instr_MainTrial.stopped,Text_2_SS_Instr_MainTrial.started,Text_2_SS_Instr_MainTrial.stopped,Text_3_SS_Instr_MainTrial.started,Text_3_SS_Instr_MainTrial.stopped,Resp_SS_Instr_MainTrial.keys,Resp_SS_Instr_MainTrial.rt,Resp_SS_Instr_MainTrial.started,Resp_SS_Instr_MainTrial.stopped,Resp_SS_Instr_PreTrial.rt,Line_SS_Prac_CountDown.started,Line_SS_Prac_CountDown.stopped,Text_SS_Prac_CountDown.started,Text_SS_Prac_CountDown.stopped,Score_SS_Prac_CountDown.started,Score_SS_Prac_CountDown.stopped,Line_SS_Prac_PreTrial.started,Line_SS_Prac_PreTrial.stopped,Score_SS_Prac_PreTrial.started,Score_SS_Prac_PreTrial.stopped,Circle_SS_Prac_PreTrial.started,Circle_SS_Prac_PreTrial.stopped,Ball_SS_Prac_PreTrial.started,Ball_SS_Prac_PreTrial.stopped,Line_SS_Prac_MainTrial.started,Line_SS_Prac_MainTrial.stopped,Score_SS_Prac_MainTrial.started,Score_SS_Prac_MainTrial.stopped,Ball_SS_Prac_MainTrial.started,Ball_SS_Prac_MainTrial.stopped,Resp_SS_Prac_MainTrial.keys,Resp_SS_Prac_MainTrial.rt,Resp_SS_Prac_MainTrial.started,Resp_SS_Prac_MainTrial.stopped,Practice,grp,go_color,default_color,block_num,dt,ct,key,rt,Correct,trial_Count,session,Sound_SS_Prac_PostTrial.started,Sound_SS_Prac_PostTrial.stopped,Line_SS_Prac_PostTrial.started,Line_SS_Prac_PostTrial.stopped,Image_SS_Prac_PostTrial.started,Image_SS_Prac_PostTrial.stopped,Score_SS_Prac_PostTrial.started,Score_SS_Prac_PostTrial.stopped,Ball_SS_Prac_PostTrial.started,Ball_SS_Prac_PostTrial.stopped,Instr_SS_Text.started,Instr_SS_Text.stopped,Instr_SS_Key.keys,Instr_SS_Key.rt,Instr_SS_Key.started,Instr_SS_Key.stopped,Text_Instr_Block_Num.started,Text_Instr_Block_Num.stopped,Resp_Instr_Block_Num.keys,Resp_Instr_Block_Num.rt,Resp_Instr_Block_Num.started,Resp_Instr_Block_Num.stopped,Line_SS_CountDown.started,Line_SS_CountDown.stopped,Text_SS_CountDown.started,Text_SS_CountDown.stopped,Line_SS_PreTrial.started,Line_SS_PreTrial.stopped,Circle_SS_PreTrial.started,Circle_SS_PreTrial.stopped,Ball_SS_PreTrial.started,Ball_SS_PreTrial.stopped,Line_SS_MainTrial.started,Line_SS_MainTrial.stopped,Ball_SS_MainTrial.started,Ball_SS_MainTrial.stopped,Resp_SS_MainTrial.keys,Resp_SS_MainTrial.rt,Resp_SS_MainTrial.started,Resp_SS_MainTrial.stopped,Sound_SS_PostTrial.started,Sound_SS_PostTrial.stopped,Line_SS_PostTrial.started,Line_SS_PostTrial.stopped,Image_SS_PostTrial.started,Image_SS_PostTrial.stopped,Ball_SS_PostTrial.started,Ball_SS_PostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,69.95907940005418,None,space,3.7780251000076532,69.95907940005418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,91.54099980008323,None,91.54099980008323,None,91.54099980008323,None,91.54099980008323,None,91.54099980008323,None,91.54099980008323,None,91.54099980008323,None,None,91.54099980008323,None,92.16516040009446,None,92.16516040009446,None,92.16516040009446,None,92.16516040009446,None,92.16516040009446,None,92.16516040009446,None,j,0.3003915000008419,92.16516040009446,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.466443800018169,0,0,1,,,,,,,,,,,,,,,,,92.81059720006306,None,j,3.2544504000106826,92.81059720006306,None,96.09323510003742,99.0700939000817,96.09323510003742,None,99.10360410006251,None,99.10360410006251,None,99.10360410006251,None,99.68684860004578,None,99.68684860004578,None,j,0.466443800018169,99.68684860004578,None,100.18754728003404,None,100.18122260004748,None,100.18122260004748,None,100.18122260004748,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,[],99,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,100.67225310008507,None,100.67225310008507,None,100.67225310008507,None,101.25332590006292,None,101.25332590006292,None,None,,101.25332590006292,None,101.87207088007125,None,101.8697986000916,None,101.8697986000916,None,101.8697986000916,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.4887754999799654,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,102.35354330006521,None,102.35354330006521,None,102.35354330006521,None,102.93688670010306,None,102.93688670010306,None,j,0.4887754999799654,102.93688670010306,None,103.47053328009787,None,103.46267650008667,None,103.46267650008667,None,103.46267650008667,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,j,0.5118543999269605,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9570750000421,None,103.9570750000421,None,103.9570750000421,None,104.55349439999554,None,104.55349439999554,None,j,0.5118543999269605,104.55349439999554,None,105.08675659002037,None,105.09272350009996,None,105.09272350009996,None,105.09272350009996,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99,j,0.5029547999147326,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58687060000375,None,105.58687060000375,None,105.58687060000375,None,106.17014740000013,None,106.17014740000013,None,j,0.5029547999147326,106.17014740000013,None,106.70461858010384,None,106.70066560001578,None,106.70066560001578,None,106.70066560001578,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.5,0,[],99,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,107.18701790005434,None,107.18701790005434,None,107.18701790005434,None,107.77017200004775,None,107.77017200004775,None,None,,107.77017200004775,None,108.38802258011418,None,108.3802743999986,None,108.3802743999986,None,108.3802743999986,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,-98.5,99.0,j,0.4918574000475928,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,108.87060720007867,None,108.87060720007867,None,108.87060720007867,None,109.4534647000255,None,109.4534647000255,None,j,0.4918574000475928,109.4534647000255,None,109.98721088008023,None,109.98092940007336,None,109.98092940007336,None,109.98092940007336,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.2488957393360431,0.2511042606639569,j,0.5203112999442965,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,110.47047090006527,None,110.47047090006527,None,110.47047090006527,None,111.05717400007416,None,111.05717400007416,None,j,0.5203112999442965,111.05717400007416,None,111.62311148007865,None,111.62220560002606,None,111.62220560002606,None,111.62220560002606,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"[-1, -1, -1]","[-1, -1, -1]",1,0.05436092203863823,0.44563907796136176,j,0.49496859998907894,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,112.12292340002023,None,112.12292340002023,None,112.12292340002023,None,112.70608450006694,None,112.70608450006694,None,j,0.49496859998907894,112.70608450006694,None,113.22045089009916,None,113.22689770010766,None,113.22689770010766,None,113.22689770010766,None,1,1,2020_Dec_28_1926,Stop_Signal_Drop,2020.1.3,59.90079233333864,
